dll,export,dll-hash,export-hash
kernel32.dll,CompareStringW,0xd78acaf904a2cf36,0x887c7ea038239167
kernel32.dll,ConnectNamedPipe,0xd78acaf904a2cf36,0xf7fe5155d6fc527c
kernel32.dll,ConsoleMenuControl,0xd78acaf904a2cf36,0xbe3dff14a3a1d41c
kernel32.dll,ContinueDebugEvent,0xd78acaf904a2cf36,0x4a802abd5a1ea5a5
kernel32.dll,ConvertCalDateTimeToSystemTime,0xd78acaf904a2cf36,0x6b374c929ca190e3
kernel32.dll,ConvertDefaultLocale,0xd78acaf904a2cf36,0x4866542ca3c2567
kernel32.dll,ConvertFiberToThread,0xd78acaf904a2cf36,0x30287d1fd54dba
kernel32.dll,ConvertNLSDayOfWeekToWin32DayOfWeek,0xd78acaf904a2cf36,0xea34f00417276b58
kernel32.dll,ConvertSystemTimeToCalDateTime,0xd78acaf904a2cf36,0x5dd17dac775da4a6
kernel32.dll,ConvertThreadToFiber,0xd78acaf904a2cf36,0x8b4e7dd2fc64761
kernel32.dll,ConvertThreadToFiberEx,0xd78acaf904a2cf36,0x6ed6818577444b2
kernel32.dll,CopyContext,0xd78acaf904a2cf36,0xeb7ad50528828bd7
kernel32.dll,CopyFile2,0xd78acaf904a2cf36,0x651cfb438d6551ed
kernel32.dll,CopyFileA,0xd78acaf904a2cf36,0x651cfb3dc32abd8f
kernel32.dll,CopyFileExA,0xd78acaf904a2cf36,0x1ffe398ee8649d21
kernel32.dll,CopyFileExW,0xd78acaf904a2cf36,0x1ffe398d211f0e9d
kernel32.dll,CopyFileTransactedA,0xd78acaf904a2cf36,0x9b7c834d7872f7c1
kernel32.dll,CopyFileTransactedW,0xd78acaf904a2cf36,0x9b7c84b84407893f
kernel32.dll,CopyFileW,0xd78acaf904a2cf36,0x651cfb4157c2e6b1
kernel32.dll,CopyLZFile,0xd78acaf904a2cf36,0xfb99f9488041739f
kernel32.dll,CreateActCtxA,0xd78acaf904a2cf36,0x8310856766536f98
kernel32.dll,CreateActCtxW,0xd78acaf904a2cf36,0x83108566abdffab4
kernel32.dll,CreateActCtxWWorker,0xd78acaf904a2cf36,0xdf6ee654b44fb79c
kernel32.dll,CreateBoundaryDescriptorA,0xd78acaf904a2cf36,0x2f6de63e14756dcd
kernel32.dll,CreateBoundaryDescriptorW,0xd78acaf904a2cf36,0x2f6de639147a6deb
kernel32.dll,CreateConsoleScreenBuffer,0xd78acaf904a2cf36,0x11c0d94438c85093
kernel32.dll,CreateDirectoryA,0xd78acaf904a2cf36,0x210bec4c163fec96
kernel32.dll,CreateDirectoryExA,0xd78acaf904a2cf36,0xdc97544a658e8560
kernel32.dll,CreateDirectoryExW,0xd78acaf904a2cf36,0xdc9754489fa8f99c
kernel32.dll,CreateDirectoryTransactedA,0xd78acaf904a2cf36,0xd6098666a06340ab
kernel32.dll,CreateDirectoryTransactedW,0xd78acaf904a2cf36,0xd6098a58cded8bf7
kernel32.dll,CreateDirectoryW,0xd78acaf904a2cf36,0x210bec4a9647ecac
kernel32.dll,CreateEnclave,0xd78acaf904a2cf36,0xac43a6df40f66ade
kernel32.dll,CreateEventA,0xd78acaf904a2cf36,0xf533df700c035e5f
kernel32.dll,CreateEventExA,0xd78acaf904a2cf36,0xca148c81df59fb61
kernel32.dll,CreateEventExW,0xd78acaf904a2cf36,0xca148c83a02a7cfb
kernel32.dll,CreateEventW,0xd78acaf904a2cf36,0xf533df6f52a3eba3
kernel32.dll,CreateFiber,0xd78acaf904a2cf36,0x5e9458196d0fb1b3
kernel32.dll,CreateFiberEx,0xd78acaf904a2cf36,0x91d896cd8f01e42c
kernel32.dll,CreateFile2,0xd78acaf904a2cf36,0x5e90694a02ef1890
kernel32.dll,CreateFileA,0xd78acaf904a2cf36,0x5e90694af8f28493
kernel32.dll,CreateFileMappingA,0xd78acaf904a2cf36,0xc52bada43203204c
